symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
5384,3.0,0.16347856979988717,0.03539989034776643,37,0.03437499999999999,-0.0010248903477664412,False,False,False
5409,-1.0,0.01781170138590177,0.00385697205902835,32,0.003124999999999989,-0.0007319720590283612,False,False,False
5435,3.0,0.30071450400785027,0.0651171617227361,42,0.06562499999999999,0.000507838277263889,False,False,False
5461,1.0,0.023733487784326674,0.005139284409960594,32,0.003124999999999989,-0.0020142844099606053,False,False,False
5486,-3.0,-0.326879263304468,-0.07078291724781662,20,-0.071875,-0.0010920827521833792,False,False,False
5512,3.0,0.26309728952395284,0.05697147467917786,41,0.05937500000000001,0.00240352532082215,False,False,False
5538,1.0,0.07983260871260482,0.017287070703283704,34,0.015625,-0.0016620707032837037,False,False,False
5563,1.0,-0.14572123067311693,-0.03155468997241908,26,-0.03437499999999999,-0.0028203100275809093,False,False,False
5589,-3.0,-0.22749002070173457,-0.04926102423033352,24,-0.046875,0.0023860242303335166,False,False,False
5615,-1.0,-0.08231635524367235,-0.017824904836277793,29,-0.015625,0.0021999048362777926,False,False,False
5640,3.0,0.25899668772624806,0.05608352432472899,40,0.05312499999999998,-0.0029585243247290116,False,False,False
5666,3.0,0.20496455751701875,0.04438332724688379,39,0.046875,0.0024916727531162086,False,False,False
5691,1.0,0.20276612480358375,0.04390727538829577,39,0.046875,0.002967724611704227,False,False,False
5717,3.0,0.1262320007668029,0.027334463416177193,36,0.02812500000000001,0.0007905365838228179,False,False,False
5743,1.0,0.2581827028616742,0.05590726284295845,40,0.05312499999999998,-0.0027822628429584745,False,False,False
5768,-3.0,-0.14473177105527338,-0.03134043092905897,26,-0.03437499999999999,-0.003034569070941018,False,False,False
5794,3.0,0.2702831008501873,0.058527500850191094,41,0.05937500000000001,0.0008474991498089168,False,False,False
5820,3.0,0.20403582433905992,0.044182217996280956,39,0.046875,0.0026927820037190436,False,False,False
5845,3.0,0.25745170790966027,0.05574897211911775,40,0.05312499999999998,-0.0026239721191177734,False,False,False
5871,-3.0,-0.2027741823390648,-0.04390902017889958,24,-0.046875,-0.0029659798211004174,False,False,False
5897,3.0,0.43856103393504403,0.09496665239430258,47,0.09687499999999999,0.0019083476056974136,False,False,False
5922,-3.0,-0.3975426523698954,-0.08608447162023204,18,-0.084375,0.0017094716202320365,False,False,False
5948,1.0,-0.057263876515313575,-0.012400004184105202,30,-0.009374999999999994,0.003025004184105208,False,False,False
5974,1.0,0.10740585594799368,0.023257822281667617,35,0.021875000000000006,-0.0013828222816676117,False,False,False
5999,1.0,-0.11054219111748145,-0.02393696891984544,28,-0.021875000000000006,0.0020619689198454333,False,False,False
6025,-3.0,-0.22440266922688695,-0.048592484593557875,24,-0.046875,0.0017174845935578748,False,False,False
6050,3.0,0.05747641478151075,0.012446027533387603,33,0.009374999999999994,-0.003071027533387609,False,False,False
6076,3.0,0.3453665991360665,0.0747861921850884,43,0.07187500000000002,-0.002911192185088382,False,False,False
6102,3.0,0.3835430663167068,0.08305298063151324,45,0.08437499999999998,0.0013220193684867348,False,False,False
6127,-3.0,-0.24163847047387782,-0.052324750388066874,23,-0.053125000000000006,-0.000800249611933132,False,False,False
6153,1.0,0.2625537537831562,0.05685377664910671,41,0.05937500000000001,0.0025212233508933035,False,False,False
6179,1.0,0.03911524053769916,0.008470071812201607,33,0.009374999999999994,0.0009049281877983872,False,False,False
6204,3.0,0.22622755865722627,0.0489876488393051,39,0.046875,-0.0021126488393050993,False,False,False
6230,1.0,0.013170330478337246,0.002851922764847357,32,0.003124999999999989,0.0002730772351526318,False,False,False
6256,-1.0,-0.08799766632360395,-0.019055144307465487,28,-0.021875000000000006,-0.002819855692534519,False,False,False
6281,-1.0,-0.017130981526594723,-0.003709567977829715,31,-0.003124999999999989,0.0005845679778297263,False,False,False
6307,3.0,0.4224361276756262,0.09147494143701845,46,0.09062500000000001,-0.0008499414370184422,False,False,False
6333,-3.0,-0.14096369709678674,-0.030524486642807984,27,-0.02812500000000001,0.002399486642807973,False,False,False
6358,1.0,0.1217738827201036,0.026369095966463543,36,0.02812500000000001,0.0017559040335364678,False,False,False
6384,-3.0,-0.21205085277763824,-0.0459178040624376,24,-0.046875,-0.0009571959375623967,False,False,False
6409,3.0,0.1704364431722522,0.03690655849844126,37,0.03437499999999999,-0.0025315584984412706,False,False,False
6435,-1.0,-0.0968651976768336,-0.02097533261070276,28,-0.021875000000000006,-0.000899667389297247,False,False,False
6461,-1.0,-0.18548192295449856,-0.040164528856103526,25,-0.040624999999999994,-0.00046047114389646815,False,False,False
6486,1.0,0.29287969743819975,0.06342060116558729,42,0.06562499999999999,0.002204398834412702,False,False,False
6512,1.0,-0.08737910041728163,-0.018921199134813903,28,-0.021875000000000006,-0.002953800865186103,False,False,False
6538,-1.0,-0.27870967649111156,-0.060352203953851866,22,-0.05937500000000001,0.0009772039538518545,False,False,False
6563,-1.0,-0.064233237667249,-0.01390915991549252,29,-0.015625,-0.0017158400845074806,False,False,False
6589,1.0,0.11003887469818052,0.023827980040903703,35,0.021875000000000006,-0.001952980040903697,False,False,False
6615,-1.0,-0.0023734342450877,-0.0005139469480714602,31,-0.003124999999999989,-0.0026110530519285286,False,False,False
6640,-3.0,-0.26997130102207695,-0.058459983256055816,22,-0.05937500000000001,-0.0009150167439441956,False,False,False
6666,-3.0,-0.36479678590451164,-0.0789936334532714,19,-0.078125,0.0008686334532714002,False,False,False
